שאלה שְׁאֵלָה 
בעיית בְּעָיָה 
שמיעה שְׁמִיעָה 
תינוק תִּינוֹק 
שמחייבת חִיֵּב 
בירור בֵּרוּר 

נולד נוֹלַד 
GBS GBS 
וטופל טָפַל טֻפַּל 
החודש חֹדֶשׁ 
לחייו חַיִּים 
באנטיביוטיקה אַנְטִיבְּיוֹטִיקָה 
דלקת דְּלֵקָה דַּלֶּקֶת 
קרום קְרוּם 
המוח מֹחַ 

במעקב מעקב 
טיפת טִפָּה 
הבחינה הִבְחִין 
האחות אָח 
מצמץ מִצְמֵץ 
בתגובה תְּגוּבָה 
לרעש רַעַשׁ 
שעשתה עָשָׂה 
התחלנו הִתְחִיל 
לערוך עָרַךְ 
בדיקות בְּדִיקָה 
שמיעה שְׁמִיעָה 

פנינו פָּנָה 
למכון מִכּוּן מָכוֹן 
והתוצאות תּוֹצָאָה 
שמיעתו שְׁמִיעָה 
נפגעה נִפְגַּע 
ונאמר אָמַר נֶאֱמַר 
לנו לָן 
לבצע בִּצֵּעַ 
בדי בד 

EXPERT EXPERT 

מתארת תֵּאֵר 
בנך בֵּן 
לעבור עָבַר 
בדיקה בְּדִיקָה 
פיזיולוגית פִיזְיוֹלוֹגִי 
מערכת מַעֲרָכָה מערכת 
השמע שֵׁמַע 
בדיקה בְּדִיקָה 
הנקראת נִקְרָא 
ABR ABR 
auditory auditory 
brain brain 
stem stem 
response response 

EXPERT EXPERT 

