
עמד עִמֵּד עָמַד 
שם שָׁם 
וקרא קָרָא 

בזמן זְמַן 
איבדת אִבֵּד 

האמין הֶאֱמִין 
יקרה יִקֵּר נִקְרָה קֵרָה קָרָה 

כבר כְּבָר 
זמן זְמַן 
נכנסת נִכְנַס 

מסירה הֵסִיר 

בזמן זְמַן 
לב לֵב 
שבור שָׁבוּר 



תמיד תמיד 
נשאר נִשְׁאַר 

מחר מָחָר 

תמיד תמיד 
נשאר נִשְׁאַר 

זר זֵר זָר 

שנים שָׁנָה 

איך איך 

נהית נְהִיָּה 
יפה יָפֶה 
יותר יוֹתֵר 

במכונית מְכוֹנִית 
מחפש חִפֵּשׂ 

ממסיבה מְסִבָּה 

מסיבות מְסִבָּה 
כבר כְּבָר 
בעיר עִיר עַיִר 


תמיד תמיד 
נשאר נִשְׁאַר 


תמיד תמיד 
נשאר נִשְׁאַר 

חבקי חבק 


חבקי חבק 


תמיד תמיד 
נשאר נִשְׁאַר 

