תגידו הִגִּיד 

דם דם 
אבינו אָבָה 

טיפות טִפָּה 

נמזגו נִמְזַג 
בדם דם 

כצבע צבע 
ים יָם 



הראש רֹאשׁ 

עוד עוֹד 
אגל אֵגֶל 

הכרנו הִכִּיר 

הדגל דֶּגֶל 

בלב לֵב 

עת עֵת 
יפרוץ פָּרַץ 
אויב אוֹיֵב 
מארב מַאֲרָב 


חי חַי 
חי חַי 

חי חַי 
הדם דם 

כתכלת תְּכֵלֶת תכלה 

מעוף מָעוֹף 

לעולם עוֹלָם 
תגביה הִגְבִּיהּ 

רוח רוּחַ 
עבר עֵבֶר עָבָר 

לעולם לְעוֹלָם 
תצמא צָמֵא 
נפשנו נִפַּשׁ נָפַשׁ 


ותצא יָצָא 
מהר מַהֵר 
קודשנו קֻדַּשׁ 

האמת אֱמֶת 

לבנה בֵּן 
זעת זֵעָה 

הבונה בָּנָה 

תזריע הִזְרִיעַ 
זרע זרע 
נצח נצח 


והפז פָּז 
אור אוֹר 

הבוקע בָּקַע 

לעולם לְעוֹלָם 
יריב יָרִיב 

ובעושק עֹשֶׁק 

לעבד עִבֵּד 

דור דּוֹר 

לעולם עֹל 
יביא הֵבִיא 

אור אוֹר 

נס נֵס 
עמל עמל 
חירות חֵרוּת 

נס נֵס 
הדור דּוֹר 

חי חַי 

חי חַי 
ועד וַעַד 

